V real;V medido;angulo
0;2.671;-1.385197613
0;2.675;-1.61595021
0;2.672;-1.61595021
0;2.669;-1.615727279
0;2.674;-1.615727279
0;2.671;-1.385197613
0;2.674;-1.390797639
0;2.669;-1.384792972
0;2.672;-1.615727279
2.672;2.669;-0.923565038
2.672;2.671;-1.385197613
2.672;2.672;-1.615727279
2.672;2.674;-1.622482191
2.672;2.672;-1.609470573
2.672;2.669;-1.615727279
2.672;2.668;-1.609250312
2.672;2.669;-1.37964247
2.672;2.672;-1.615727279
2.672;2.668;-1.385197613
2.672;2.669;-1.385197613
2.672;2.671;-1.615727279
2.672;2.668;-1.385197613
2.672;2.669;-1.37964247
2.672;2.668;-1.149612564
2.672;2.672;-1.145176814
2.672;2.671;-2.299336398
2.672;2.66;-2.308388037
2.672;2.664;-1.609833553
2.672;2.664;-2.747737031
2.672;2.657;-2.529412719
2.672;2.653;-2.539597977
2.672;2.656;-2.77001345
2.672;2.65;-2.539350604
2.672;2.639;-2.988632455
2.672;2.639;-3.23098369
2.672;2.63;-3.000661413
2.672;2.624;-3.23098369
2.672;2.618;-4.151251637
2.672;2.615;-4.151251637
2.672;2.604;-3.706168142
2.672;2.598;-3.921271775
2.672;2.591;-4.36295065
2.672;2.583;-5.571054424
2.672;2.574;-5.067412455
2.672;2.569;-4.838194739
2.672;2.561;-5.066798336
2.672;2.548;-5.752576894
2.672;2.541;-6.209319772
2.672;2.538;-5.546121897
2.672;2.53;-6.459904259
2.672;2.527;-6.458595379
2.672;2.515;-6.458595379
2.672;2.515;-6.458595379
2.672;2.505;-6.432842302
2.672;2.497;-7.142219492
2.672;2.487;-7.658876046
2.672;2.487;-7.167354776
2.672;2.482;-7.169164496
2.672;2.475;-8.044089925
2.672;2.475;-7.846000536
2.672;2.468;-8.13866848
2.672;2.459;-8.301273137
2.672;2.453;-7.843519799
2.672;2.455;-9.303110851
2.672;2.449;-9.005723044
2.672;2.442;-9.232710721
2.672;2.44;-9.005723044
2.672;2.434;-9.005723044
2.672;2.429;-9.378207277
2.672;2.427;-9.670149364
2.672;2.418;-9.751510964
2.672;2.412;-9.716787087
2.672;2.414;-9.755597069
2.672;2.407;-10.49738879
2.672;2.406;-10.41917828
2.672;2.397;-10.4606893
2.672;2.395;-10.42403128
2.672;2.388;-11.22482167
2.672;2.392;-11.34423076
2.672;2.382;-11.35025583
2.672;2.384;-11.08624227
2.672;2.373;-10.94736435
2.672;2.373;-10.19254827
2.672;2.368;-9.634815546
2.672;2.36;-10.42872043
2.672;2.36;-10.01462921
2.672;2.351;-9.232710721
2.672;2.351;-9.489692636
2.672;2.343;-9.269567352
2.672;2.353;-8.036528496
2.672;2.35;-8.565194074
2.672;2.348;-7.62027502
2.672;2.347;-7.368393266
2.672;2.348;-7.397905441
2.672;2.348;-6.458595379
2.672;2.343;-6.459904259
2.672;2.341;-5.52593316
2.672;2.344;-5.066798336
2.672;2.345;-4.609306353
2.672;2.339;-4.36295065
2.672;2.336;-3.921112901
2.672;2.34;-3.69135606
2.672;2.341;-3.000661413
2.672;2.336;-3.000271898
2.672;2.337;-4.68589984
2.672;2.328;-1.384792972
2.672;2.328;-1.609470573
2.672;2.329;-1.385366318
2.672;2.343;-1.615727279
2.672;2.354;-1.37964247
2.672;2.36;-1.154240764
2.672;2.363;-1.609250312
2.672;2.366;-1.379242677
2.672;2.374;-2.308388037
2.672;2.384;-3.461141603
2.672;2.388;-3.269808545
2.672;2.395;-2.999785217
2.672;2.406;-2.539350604
2.672;2.403;-5.191608442
2.672;2.406;-2.077762781
2.672;2.404;-3.474778282
2.672;2.406;-1.603042652
2.672;2.403;-0.228918336
2.672;2.403;-0.229835551
2.672;2.411;0.933114975
2.672;2.418;0
2.672;2.427;0.696831655
2.672;2.437;0.462953059
2.672;2.445;1.618553523
2.672;2.459;1.848421331
2.672;2.474;1.616934835
2.672;2.482;1.854538556
2.672;2.504;2.103884495
2.672;2.515;3.009539512
2.672;2.531;3.694022326
2.672;2.549;3.249382078
2.672;2.562;4.407637714
2.672;2.585;4.872228079
2.672;2.618;5.30328264
2.672;2.629;6.904045477
2.672;2.656;7.235241541
2.672;2.672;8.347097673
2.672;2.706;9.110659941
2.672;2.731;10.47890429
2.672;2.758;10.25372372
2.672;2.786;11.89703786
2.672;2.806;12.48781167
2.672;2.836;12.90736551
2.672;2.859;12.57052155
2.672;2.881;13.24488233
2.672;2.911;13.0205006
2.672;2.937;13.29583389
2.672;2.956;13.0062626
2.672;2.987;13.0062626
2.672;3.012;13.28120062
2.672;3.037;13.29583389
2.672;3.062;13.28120062
2.672;3.09;13.0062626
2.672;3.119;13.05624717
2.672;3.149;12.84505476
2.672;3.178;13.28120062
2.672;3.208;12.35515105
2.672;3.231;13.28120062
2.672;3.267;11.26052229
2.672;3.295;10.65504481
2.672;3.328;8.509757388
2.672;3.362;7.436445867
2.672;3.393;6.392879597
2.672;3.42;3.503968395
2.672;3.435;3.019091929
2.672;3.453;3.000929293
2.672;3.472;1.165264252
2.672;3.484;0.694025682
2.672;3.499;0.917940054
2.672;3.513;0.460971013
2.672;3.517;0.463179912
2.672;3.52;0
2.672;3.532;0.230550806
2.672;3.544;-0.692250469
2.672;3.555;-0.92329519
2.672;3.566;-0.692379627
2.672;3.577;-1.847070149
2.672;3.574;-2.539165121
2.672;3.574;-3.03710857
2.672;3.58;-2.560216395
2.672;3.581;-0.428930241
